id,question,difficulty,category,correct_answer,option1,option2,option3,option4
31,"Which continent is Egypt in?","medium","geography","Africa","Asia","Africa","Europe","South America"
32,"Solve: 7×8","medium","math","56","54","56","58","52"
33,"What is the chemical symbol for water?","medium","science","H₂O","CO₂","O₂","H₂O","NaCl"
34,"Python is a ___ language","medium","programming","interpreted","interpreted","compiled","assembly","markup"
35,"What is the value of π (approx)?","medium","math","3.14","2.72","3.14","3.41","3.50"
36,"Who painted the Mona Lisa?","medium","art","Da Vinci","Michelangelo","Picasso","Da Vinci","Rembrandt"
37,"Which element has atomic number 1?","medium","chemistry","Hydrogen","Helium","Oxygen","Hydrogen","Carbon"
38,"What is 50% of 80?","medium","math","40","30","35","40","45"
39,"Which ocean is deepest?","medium","geography","Pacific","Atlantic","Indian","Arctic","Pacific"
40,"Which planet is known as the Red Planet?","medium","science","Mars","Venus","Earth","Mars","Jupiter"

41,"Solve: integral of 2x dx","hard","math","x² + C","x²","2x + C","x² + C","ln(x)"
42,"What is Schrödinger’s cat thought experiment about?","hard","physics","Quantum superposition","Relativity","Quantum superposition","Evolution","Thermodynamics"
43,"Time complexity of merge sort","hard","algorithms","O(n log n)","O(n²)","O(n log n)","O(n)","O(n!)"
44,"What is Gödel's incompleteness theorem about?","hard","math","Limits of provability","Number theory","Limits of provability","Topology","Geometry"
45,"Define NP-complete problems","hard","algorithms","Decision problems verifiable in poly‑time","Problems solvable in poly‑time","Problems solvable in poly‑time","Decision problems verifiable in poly‑time","Uncomputable problems"
46,"What is the Riemann Hypothesis about?","hard","math","Zeros of zeta function","Prime numbers","Zeros of zeta function","Algebraic equations","Group theory"
47,"What is the Heisenberg uncertainty principle?","hard","physics","Measurement limits","Relativity limits","Measurement limits","Quantum entanglement","Conservation laws"
48,"Explain P vs NP question","hard","algorithms","Whether P = NP","Whether NP = co‑NP","Whether P = NP","Whether P ≠ NP","Whether P = NP"
49,"What is the Collatz conjecture?","hard","math","Iterate halving/3n+1","Prime sequence","Iterate halving/3n+1","Fibonacci sequence","Factorials"
50,"Complexity of quicksort (average)","hard","algorithms","O(n log n)","O(n²)","O(n log n)","O(n log n)","O(n²)"
51,"What is a Banach space?","hard","math","Complete normed vector space","Hilbert space","Complete normed vector space","Metric space","Topological space"
52,"What is L'Hôpital's rule used for?","hard","math","Limits of indeterminate forms","Integrals","Limits of indeterminate forms","Derivatives","Series expansions"
53,"Fourier transform converts to ___ domain","hard","math","Frequency","Time","Space","Frequency","Wavelet"
54,"Explain the continuum hypothesis","hard","math","Set theory sizes","Number theory","Set theory sizes","Topology","Calculus"
55,"What is the Mandelbrot set?","hard","math","Complex fractal set","Real number sequence","Complex fractal set","Prime numbers","Graphs"
56,"What is the traveling salesman problem?","hard","algorithms","Shortest Hamiltonian circuit","Longest path","Shortest Hamiltonian circuit","Sorting","Pathfinding"
57,"Describe Turing machine","hard","computer science","Abstract computational model","Programming language","Abstract computational model","Database","Operating system"
58,"Complexity of Dijkstra’s algorithm","hard","algorithms","O(E + V log V)","O(V²)","O(E + V log V)","O(E log E)","O(E * V)"
59,"What is NP-hard?","hard","algorithms","At least as hard as NP-complete","Easier than P","At least as hard as NP-complete","Unsolvable","Poly-time solvable"
60,"What does 'eval' do in Python?","hard","programming","Executes string as code","Converts to int","Executes string as code","Prints","Deletes variable"
